#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#2,#3,#4,#5,#6,#7,#8,#9,#10
default,1,,,,,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_2_x1_alt,,51,gun_2_x1_alt,,,small_gun_a_51_x1,1.75,1.9,0.92,0.571428571,small_gun_b_51_x1,1.75,1.9,0.92,0.571428571,jap_tb_gun_76_x1,1.3,1.5,0.92,0.769230769,iowa_gun_127_x1,0.81,0.91,0.92,1.234567901,iowa_gun_127_x1,0.81,0.91,0.92,1.234567901,,,,,,,,,,
gun_2_x2_alt,,51,gun_2_x2_alt,,,maine_gun_152_x2,0.664,0.798,0.7,1.506024096,spee_gun_150_x2,0.71,0.8,0.7,1.408450704,spee_gun_150_x2,0.71,0.8,0.7,1.408450704,iowa_gun_127_x2,0.81,0.91,0.7,1.234567901,iowa_gun_127_x2,0.81,0.91,0.7,1.234567901,,,,,,,,,,
gun_2_x3_alt,,51,gun_2_x3_alt,,,maine_gun_152_x3,0.664,0.798,0.55,1.506024096,spee_gun_150_x3,0.71,0.8,0.55,1.408450704,spee_gun_150_x3,0.71,0.8,0.55,1.408450704,iowa_gun_127_x3,0.81,0.91,0.55,1.234567901,iowa_gun_127_x3,0.81,0.91,0.55,1.234567901,,,,,,,,,,
gun_2_x4_alt,,51,gun_2_x4_alt,,,pompom_gun_a_x4,1,1.09,0.5,1,pompom_gun_a_x4,1,1.09,0.5,1,pompom_gun_a_x4,1,1.09,0.5,1,pompom_gun_a_x4,1,1.09,0.5,1,pompom_gun_a_x4,1,1.09,0.5,1,,,,,,,,,,
gun_3_x1_alt,,76,gun_3_x1_alt,,,brandenburg_gun_76_x1,1.074,1.246,1,0.931098696,jap_tb_gun_76_x1,1.59,1.78,1,0.628930818,jap_tb_gun_76_x1,1.59,1.78,1,0.628930818,iowa_gun_127_x1,1.03,1.126,1,0.970873786,iowa_gun_127_x1,1.03,1.126,1,0.970873786,,,,,,,,,,
gun_3_x2_alt,,76,gun_3_x2_alt,,,maine_gun_152_x2,0.788,0.962,1.08,1.269035533,spee_gun_150_x2,0.825,0.945,1.08,1.212121212,spee_gun_150_x2,0.825,0.945,1.08,1.212121212,iowa_gun_127_x2,1.03,1.126,1.08,0.970873786,iowa_gun_127_x2,1.03,1.126,1.08,0.970873786,,,,,,,,,,
gun_3_x3_alt,,76,gun_3_x3_alt,,,maine_gun_152_x3,0.788,0.962,0.83,1.269035533,spee_gun_150_x3,0.825,0.945,0.83,1.212121212,spee_gun_150_x3,0.825,0.945,0.83,1.212121212,iowa_gun_127_x3,1.03,1.126,0.83,0.970873786,iowa_gun_127_x3,1.03,1.126,0.83,0.970873786,,,,,,,,,,
gun_3_x4_alt,,76,gun_3_x4_alt,,,pompom_gun_a_x4,1.1,1.19,0.74,0.909090909,pompom_gun_a_x4,1.1,1.19,0.74,0.909090909,pompom_gun_a_x4,1.1,1.19,0.74,0.909090909,pompom_gun_a_x4,1.1,1.19,0.74,0.909090909,pompom_gun_a_x4,1.1,1.19,0.74,0.909090909,,,,,,,,,,
gun_4_x1_alt,,102,gun_4_x1_alt,,,brandenburg_gun_76_x1,1.231,1.403,1.1,0.812347685,jap_tb_gun_76_x1,1.81,2,1.1,0.552486188,jap_tb_gun_76_x1,1.81,2,1.1,0.552486188,dd_s_gun_b_102_x1,1.325,1.445,1.1,0.754716981,dd_s_gun_b_102_x1,1.325,1.445,1.1,0.754716981,,,,,,,,,,
gun_4_x2_alt,,102,gun_4_x2_alt,,,maine_gun_152_x2,0.982,1.176,1.28,1.018329939,spee_gun_150_x2,1.015,1.1,1.28,0.985221675,spee_gun_150_x2,1.015,1.1,1.28,0.985221675,qe_gun_114_x2,0.868,0.994,1.28,1.152073733,qe_gun_114_x2,0.868,0.994,1.28,1.152073733,,,,,,,,,,
gun_4_x3_alt,,102,gun_4_x3_alt,,,maine_gun_152_x3,0.982,1.176,1,1.018329939,spee_gun_150_x3,1.015,1.1,1,0.985221675,spee_gun_150_x3,1.015,1.1,1,0.985221675,pola_gun_100_x3,1.068,1.194,1,0.936329588,atl_gun_125_x3,0.868,0.994,1,1.152073733,,,,,,,,,,
